StudentID,Test Score,Grade
484737,83,7
393783,86,6
850370,82,6
447164,86,12
827082,92,2
646025,65,7
281133,84,8
345655,82,4
271742,99,8
174860,84,9
358769,88,4
739117,61,9
897266,95,3
456932,85,1
121817,91,12
163120,81,11
566971,92,8
381128,91,2
448062,85,7
287758,70,2
242003,87,8
350950,63,12
202733,58,3
765437,68,1
180149,67,9
415840,70,2
423049,87,7
749921,82,6
129165,83,4
759449,85,5
360396,100,9
590862,80,9
219959,78,11
928117,74,9
819904,83,11
955134,69,10
383687,81,6
288101,74,6
480826,88,12
759281,85,7
183435,56,11
374065,69,2
533879,70,3
704004,71,5
547715,79,1
170327,81,8
932006,71,7
547998,100,2
198388,80,5
240252,75,2
902137,79,1
674380,73,6
775388,80,7
570524,68,8
393871,72,3
137301,85,7
441530,73,1
623706,95,10
280122,79,10
850448,70,3
678268,91,8
767830,68,2
393935,93,10
307312,82,6
627760,102,7
951576,82,12
178995,72,11
828020,89,4
643482,76,5
929392,79,5
682020,78,6
559408,74,10
578301,68,5
887001,71,10
395534,81,5
852238,75,10
611831,80,5
580716,90,5
611207,66,10
228833,85,1
157106,85,5
706924,56,4
496056,71,5
649830,83,1
486493,74,12
862106,77,5
877203,73,7
402399,86,10
727577,62,11
674665,70,12
113271,69,7
436682,77,10
356929,82,5
985419,80,4
651126,77,3
740857,88,12
111162,76,4
321387,84,12
666788,78,6
189930,85,11
755035,61,8
565713,77,5
520854,91,12
638550,85,4
182564,67,2
208809,70,12
425975,71,2
521501,68,7
752992,91,2
559043,66,1
967401,72,1
282035,77,8
476428,80,2
734658,88,10
806714,66,3
426651,80,8
136732,91,3
926831,74,3
